"description","from_road","to_road","length_in_meters","delay_in_seconds","Year","Month (number)","Day of month","Hour","Minute","rua_name","dupl_from","dupl_to"
stationary traffic,Avenida Central,Praça Alexandre Herculano / Avenida General Norton de Matos,220,103,2018,8,28,10,0,Avenida Central,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,8,28,16,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),630,28,2018,8,28,17,0,Avenida João Paulo II,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1080,167,2018,8,31,15,0,Avenida João Paulo II,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),330,54,2018,8,31,16,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,215,110,2018,8,31,19,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1750,349,2018,8,31,19,0,Avenida João Paulo II,0,0
queuing traffic,Rua do Caires,Rua António Gonçalves,80,15,2018,9,1,20,0,Rua do Caires,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,460,264,2018,9,1,22,0,Avenida da Liberdade,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,139,2018,9,3,16,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),540,47,2018,9,3,17,0,Avenida João Paulo II,0,0
stationary traffic,Rua Costa Gomes,Rua 5 de Outubro,240,151,2018,9,3,19,0,Rua Costa Gomes,0,0
queuing traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1100,169,2018,9,4,17,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,420,476,2018,9,4,17,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,143,2018,9,4,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),820,73,2018,9,4,18,0,Avenida João Paulo II,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),750,40,2018,9,5,17,0,Avenida João Paulo II,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,143,2018,9,5,17,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,143,2018,9,5,18,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Rua Bernardo Sequeira / Rua Cândido de Oliveira,Avenida da Liberdade,300,115,2018,9,6,14,0,Avenida da Liberdade,0,0
queuing traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,6,16,0,Avenida Central,0,0
stationary traffic,Avenida Central,Avenida General Norton de Matos / Rua de São Vicente,250,165,2018,9,6,17,0,Avenida Central,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),460,25,2018,9,6,17,0,Avenida João Paulo II,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,310,231,2018,9,6,18,0,Avenida da Liberdade,0,0
stationary traffic,Avenida General Norton de Matos,Avenida João Paulo II,2240,420,2018,9,6,18,0,Avenida João Paulo II,0,0
stationary traffic,Caminho de Lamas,Avenida Padre Júlio Fragata,376,160,2018,9,6,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),920,51,2018,9,7,8,0,Avenida João Paulo II,0,0
stationary traffic,Avenida Padre Júlio Fragata,São Vicente,560,336,2018,9,7,8,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,195,2018,9,7,11,0,Avenida Central,0,0
stationary traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),275,240,2018,9,7,16,0,Avenida da Liberdade,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1460,126,2018,9,7,17,0,Avenida João Paulo II,0,0
slow traffic,Rua do Caires,Rua António Gonçalves,200,21,2018,9,7,17,0,Rua do Caires,0,0
stationary traffic,Avenida Central,Rua de Gabriel Pereira Castro,310,288,2018,9,7,17,0,Avenida Central,0,0
stationary traffic,Rua Costa Gomes,Rua do Caires / Rua Cardoso Avelino,720,257,2018,9,7,18,0,Rua Costa Gomes,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,320,143,2018,9,7,18,0,Avenida Padre Júlio Fragata,0,0
slow traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1550,143,2018,9,7,19,0,Avenida João Paulo II,0,0
slow traffic,Rua do Caires,Avenida Padre Júlio Fragata,1070,94,2018,9,7,19,0,Avenida Padre Júlio Fragata,0,0
stationary traffic,Avenida João Paulo II,Rua Feliciano Ramos (N101) / Rua Cónego Luciano Afonso dos Santos (N101),1350,894,2018,9,9,16,0,Avenida João Paulo II,0,0
queuing traffic,Avenida Padre Júlio Fragata,São Vítor,550,250,2018,9,10,8,0,Avenida Padre Júlio Fragata,0,0
