Mes,Dia,Ano,Hora,Minutos,Dia da semana,city_name,road_num,road_name,current_speed,free_flow_speed,speed_diff,current_travel_time,free_flow_travel_time,time_diff,elimina
8,11,2018,18,0,7,missing,,Avenida João Paulo II,38,39,1,9,9,0,134
8,11,2018,20,0,7,missing,,N14 Bosch,41,47,5,57,48,9,135
8,11,2018,20,0,7,missing,,Avenida Padre Júlio Fragata,65,67,2,86,83,3,135
8,11,2018,20,0,7,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,135
8,11,2018,20,0,7,missing,,Rua Costa Gomes,10,40,30,9,42,-32,135
8,11,2018,20,0,7,missing,,Avenida da Liberdade,24,25,0,128,124,4,135
8,11,2018,20,0,7,missing,,Rua de Caires,31,36,4,44,36,7,135
8,11,2018,20,0,7,missing,,Avenida Central,24,25,0,128,124,4,135
8,11,2018,20,0,7,missing,,Avenida João Paulo II,39,39,0,9,9,0,135
8,21,2018,9,0,3,missing,,N14 Bosch,30,47,16,75,48,27,136
8,21,2018,9,0,3,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,136
8,21,2018,9,0,3,missing,,Rua Nova Santa Cruz,37,43,6,49,39,10,136
8,21,2018,9,0,3,missing,,Rua Costa Gomes,8,40,31,11,42,-30,136
8,21,2018,9,0,3,missing,,Avenida da Liberdade,24,25,0,128,124,4,136
8,21,2018,9,0,3,missing,,Rua de Caires,24,36,12,58,36,21,136
8,21,2018,9,0,3,missing,,Avenida Central,24,25,0,128,124,4,136
8,21,2018,9,0,3,missing,,Avenida João Paulo II,39,39,0,9,9,0,136
8,25,2018,9,0,7,missing,,N14 Bosch,43,47,3,53,48,5,137
8,25,2018,9,0,7,missing,,Avenida Padre Júlio Fragata,62,67,4,97,83,14,137
8,25,2018,9,0,7,missing,,Rua Nova Santa Cruz,41,43,2,42,39,3,137
8,25,2018,9,0,7,missing,,Rua Costa Gomes,13,40,27,19,42,-22,137
8,25,2018,9,0,7,missing,,Avenida da Liberdade,25,25,0,124,124,0,137
8,25,2018,9,0,7,missing,,Rua de Caires,27,36,8,53,36,16,137
8,25,2018,9,0,7,missing,,Avenida Central,25,25,0,124,124,0,137
8,25,2018,9,0,7,missing,,Avenida João Paulo II,36,39,2,9,9,0,137
8,25,2018,10,0,7,missing,,N14 Bosch,39,47,7,58,48,10,138
8,25,2018,10,0,7,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,138
8,25,2018,10,0,7,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,138
8,25,2018,10,0,7,missing,,Rua Costa Gomes,8,40,32,11,42,-30,138
8,25,2018,10,0,7,missing,,Avenida da Liberdade,23,25,1,136,124,12,138
8,25,2018,10,0,7,missing,,Rua de Caires,29,36,6,47,36,10,138
8,25,2018,10,0,7,missing,,Avenida Central,23,25,1,136,124,12,138
8,25,2018,10,0,7,missing,,Avenida João Paulo II,36,39,2,9,9,0,138
9,1,2018,11,0,7,missing,,N14 Bosch,39,47,8,63,48,15,139
9,1,2018,11,0,7,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,139
9,1,2018,11,0,7,missing,,Rua Nova Santa Cruz,41,43,2,42,39,3,139
9,1,2018,11,0,7,missing,,Rua Costa Gomes,8,40,32,12,42,-29,139
9,1,2018,11,0,7,missing,,Avenida da Liberdade,23,25,1,134,124,10,139
9,1,2018,11,0,7,missing,,Rua de Caires,26,36,9,55,36,18,139
9,1,2018,11,0,7,missing,,Avenida Central,22,25,2,140,124,16,139
9,1,2018,11,0,7,missing,,Avenida João Paulo II,35,39,3,10,9,1,139
9,1,2018,13,0,7,missing,,N14 Bosch,43,47,3,59,48,11,140
9,1,2018,13,0,7,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,140
9,1,2018,13,0,7,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,140
9,1,2018,13,0,7,missing,,Rua Costa Gomes,14,40,26,17,42,-25,140
9,1,2018,13,0,7,missing,,Avenida da Liberdade,25,25,0,124,124,0,140
9,1,2018,13,0,7,missing,,Rua de Caires,30,36,5,46,36,10,140
9,1,2018,13,0,7,missing,,Avenida Central,25,25,0,124,124,0,140
9,1,2018,13,0,7,missing,,Avenida João Paulo II,37,39,1,9,9,0,140
9,1,2018,14,0,7,missing,,N14 Bosch,44,47,2,53,48,5,141
9,1,2018,14,0,7,missing,,Avenida Padre Júlio Fragata,65,67,1,85,83,2,141
9,1,2018,14,0,7,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,141
9,1,2018,14,0,7,missing,,Rua Costa Gomes,8,40,32,12,42,-29,141
9,1,2018,14,0,7,missing,,Avenida da Liberdade,22,25,2,139,124,15,141
9,1,2018,14,0,7,missing,,Rua de Caires,30,36,5,44,36,8,141
9,1,2018,14,0,7,missing,,Avenida Central,22,25,2,140,124,16,141
9,1,2018,14,0,7,missing,,Avenida João Paulo II,36,39,2,9,9,0,141
9,2,2018,8,0,8,missing,,N14 Bosch,47,47,0,48,48,0,142
9,2,2018,8,0,8,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,142
9,2,2018,8,0,8,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,142
9,2,2018,8,0,8,missing,,Rua Costa Gomes,15,40,25,15,42,-26,142
9,2,2018,8,0,8,missing,,Avenida da Liberdade,25,25,0,124,124,0,142
9,2,2018,8,0,8,missing,,Rua de Caires,36,36,0,36,36,0,142
9,2,2018,8,0,8,missing,,Avenida Central,25,25,0,124,124,0,142
9,2,2018,8,0,8,missing,,Avenida João Paulo II,39,39,0,9,9,0,142
9,2,2018,11,0,8,missing,,N14 Bosch,42,47,4,53,48,5,143
9,2,2018,11,0,8,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,143
9,2,2018,11,0,8,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,143
9,2,2018,11,0,8,missing,,Rua Costa Gomes,15,40,25,15,42,-26,143
9,2,2018,11,0,8,missing,,Avenida da Liberdade,23,25,1,147,124,23,143
9,2,2018,11,0,8,missing,,Rua de Caires,32,36,3,42,36,5,143
9,2,2018,11,0,8,missing,,Avenida Central,23,25,1,147,124,23,143
9,2,2018,11,0,8,missing,,Avenida João Paulo II,35,39,3,10,9,1,143
9,2,2018,15,0,8,missing,,N14 Bosch,38,47,8,65,48,17,144
9,2,2018,15,0,8,missing,,Avenida Padre Júlio Fragata,62,67,4,90,83,7,144
9,2,2018,15,0,8,missing,,Rua Nova Santa Cruz,41,43,2,42,39,2,144
9,2,2018,15,0,8,missing,,Rua Costa Gomes,14,40,26,17,42,-25,144
9,2,2018,15,0,8,missing,,Avenida da Liberdade,23,25,1,132,124,8,144
9,2,2018,15,0,8,missing,,Rua de Caires,34,36,2,39,36,3,144
9,2,2018,15,0,8,missing,,Avenida Central,23,25,1,132,124,8,144
9,2,2018,15,0,8,missing,,Avenida João Paulo II,35,39,4,10,9,1,144
9,2,2018,16,0,8,missing,,N14 Bosch,45,47,1,50,48,2,145
9,2,2018,16,0,8,missing,,Avenida Padre Júlio Fragata,57,67,9,191,83,108,145
9,2,2018,16,0,8,missing,,Rua Nova Santa Cruz,40,43,3,47,39,8,145
9,2,2018,16,0,8,missing,,Rua Costa Gomes,13,40,27,19,42,-23,145
9,2,2018,16,0,8,missing,,Avenida da Liberdade,25,25,0,124,124,0,145
9,2,2018,16,0,8,missing,,Rua de Caires,31,36,4,61,36,24,145
9,2,2018,16,0,8,missing,,Avenida Central,25,25,0,124,124,0,145
9,2,2018,16,0,8,missing,,Avenida João Paulo II,36,39,2,10,9,1,145
9,2,2018,18,0,8,missing,,N14 Bosch,47,47,0,48,48,0,146
9,2,2018,18,0,8,missing,,Avenida Padre Júlio Fragata,49,67,17,118,83,35,146
9,2,2018,18,0,8,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,146
9,2,2018,18,0,8,missing,,Rua Costa Gomes,15,40,25,15,42,-26,146
9,2,2018,18,0,8,missing,,Avenida da Liberdade,24,25,0,128,124,4,146
9,2,2018,18,0,8,missing,,Rua de Caires,34,36,2,39,36,3,146
9,2,2018,18,0,8,missing,,Avenida Central,24,25,0,128,124,4,146
9,2,2018,18,0,8,missing,,Avenida João Paulo II,32,39,7,11,9,2,146
9,4,2018,4,0,3,missing,,N14 Bosch,47,47,0,48,48,0,147
9,4,2018,4,0,3,missing,,Avenida Padre Júlio Fragata,67,67,0,83,83,0,147
9,4,2018,4,0,3,missing,,Rua Nova Santa Cruz,43,43,0,39,39,0,147
9,4,2018,4,0,3,missing,,Rua Costa Gomes,15,40,25,15,42,-26,147
9,4,2018,4,0,3,missing,,Avenida da Liberdade,25,25,0,124,124,0,147
9,4,2018,4,0,3,missing,,Rua de Caires,36,36,0,36,36,0,147
