description,from_road,to_road,length_in_meters,delay_in_seconds,Year,Month (number),Day of month,Hour,Minute,rua_name,dupl_from,dupl_to,new_from,new_to
queuing traffic,Avenida Central,N103 (N101),590,128,2018,11,8,18,0,Avenida Central,1,0,1,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,440,266,2018,11,8,18,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),291,211,2018,11,8,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,322,182,2018,11,8,19,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),615,256,2018,11,8,19,0,Avenida Central,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,440,263,2018,11,8,19,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Cm1327 (N201),Rua Costa Gomes,199,153,2018,11,8,19,0,Rua Costa Gomes,0,0,0,0
stationary traffic,Rua Lusíadas / Rua dos Peões,Rua Nova de Santa Cruz,264,137,2018,11,8,23,0,Rua Nova de Santa Cruz,0,0,0,0
queuing traffic,Avenida Central,Avenida General Norton De Matos (N101),291,124,2018,11,9,9,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,322,167,2018,11,9,9,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),291,265,2018,11,9,13,0,Avenida Central,0,0,0,0
stationary traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,251,179,2018,11,9,14,0,Avenida Central,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,284,251,2018,11,9,14,0,Rua Nova de Santa Cruz,0,0,0,0
stationary traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,251,144,2018,11,9,15,0,Avenida Central,0,0,0,0
queuing traffic,Avenida Central,Avenida General Norton De Matos (N101),238,129,2018,11,9,17,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,248,173,2018,11,9,17,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Rua De Camoes (Rua De Santa Margarida),Avenida Central,251,170,2018,11,9,17,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),291,251,2018,11,9,18,0,Avenida Central,0,0,0,0
queuing traffic,Avenida da Liberdade,Avenida da Imaculada Conceição (N309) / Avenida João XXI (N309),250,179,2018,11,9,18,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,362,272,2018,11,9,18,0,Avenida da Liberdade,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,334,144,2018,11,9,18,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,266,178,2018,11,9,18,0,Rua Nova de Santa Cruz,0,0,0,0
stationary traffic,Estrada da Variante de Real / Rua da Cotorela,Rua Costa Gomes,205,293,2018,11,9,19,0,Rua Costa Gomes,0,0,0,1
stationary traffic,Rua Cónego Doutor Manuel Faria (N201),Rua Costa Gomes,1517,599,2018,11,9,19,0,Rua Costa Gomes,0,1,0,1
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),205,154,2018,11,9,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida da Imaculada Conceição (N14) / Rua de Sá de Miranda,Avenida da Liberdade,161,195,2018,11,9,19,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N103 (N101),327,158,2018,11,9,19,0,Avenida Central,0,0,0,0
stationary traffic,Avenida João Paulo II,Praça do Condestável (N14) / Avenida Conde Dom Henrique,1269,394,2018,11,9,19,0,Avenida João Paulo II,0,0,0,0
queuing traffic,Avenida Central,Avenida General Norton De Matos (N101),291,172,2018,11,10,12,0,Avenida Central,0,0,0,0
queuing traffic,Avenida Central,Avenida General Norton De Matos (N101),290,159,2018,11,10,13,0,Avenida Central,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),290,230,2018,11,10,16,0,Avenida Central,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,248,222,2018,11,11,12,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida da Liberdade,Avenida Pires Gonçalves,237,270,2018,11,11,16,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida João Paulo II,Avenida Padre Júlio Fragata,264,138,2018,11,11,16,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),615,356,2018,11,12,9,0,Avenida Central,0,0,0,0
stationary traffic,Braga-Circular (São Vítor) (N103),Rua Nova de Santa Cruz,498,268,2018,11,12,9,0,Rua Nova de Santa Cruz,0,0,0,1
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,272,129,2018,11,12,9,0,Rua Nova de Santa Cruz,0,1,0,1
stationary traffic,Rua Costa Gomes,M564 (N205-4),264,280,2018,11,12,15,0,Rua Costa Gomes,0,0,0,0
stationary traffic,Avenida 31 de Janeiro / Largo da Senhora-a-Branca,Avenida da Liberdade,362,254,2018,11,12,16,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),453,314,2018,11,12,16,0,Avenida Central,0,0,0,0
queuing traffic,Avenida Central,N103 (N101),678,231,2018,11,12,18,0,Avenida Central,0,0,1,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),615,497,2018,11,12,18,0,Avenida Central,1,0,1,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,334,245,2018,11,12,18,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,218,184,2018,11,12,18,0,Rua Nova de Santa Cruz,0,0,0,0
slow traffic,Avenida António Macedo,Avenida da Liberdade,783,139,2018,11,12,19,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,Avenida General Norton De Matos (N101),290,221,2018,11,12,19,0,Avenida Central,0,0,1,0
stationary traffic,Avenida Central,N103 (N101),615,221,2018,11,12,19,0,Avenida Central,1,0,1,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),342,224,2018,11,12,19,0,Avenida Central,1,0,1,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,218,136,2018,11,12,19,0,Avenida Padre Júlio Fragata,0,0,0,0
queuing traffic,Avenida da Liberdade,Avenida Doutor Porfírio da Silva / Rua de Baixo,498,160,2018,11,12,19,0,Avenida da Liberdade,0,0,0,0
stationary traffic,Avenida Central,N101 (Rua De Santa Margarida),453,197,2018,11,13,9,0,Avenida Central,0,0,0,0
stationary traffic,São Vítor,Avenida Padre Júlio Fragata,334,123,2018,11,13,9,0,Avenida Padre Júlio Fragata,0,0,0,0
stationary traffic,EM590 (N103),Rua Nova de Santa Cruz,228,136,2018,11,13,14,0,Rua Nova de Santa Cruz,0,0,0,0
