"Mes","Dia","Ano","Hora","Minutos","Dia da semana","city_name","road_num","road_name","current_speed","free_flow_speed","speed_diff","current_travel_time","free_flow_travel_time","time_diff"
7,26,2018,0,0,5,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,26,2018,1,0,5,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,26,2018,1,0,5,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,26,2018,1,0,5,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,26,2018,1,0,5,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,26,2018,1,0,5,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,26,2018,1,0,5,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,26,2018,1,0,5,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,26,2018,1,0,5,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,26,2018,2,0,5,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,26,2018,2,0,5,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,26,2018,2,0,5,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,26,2018,2,0,5,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,26,2018,2,0,5,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,26,2018,2,0,5,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,26,2018,2,0,5,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,26,2018,2,0,5,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,26,2018,3,0,5,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,26,2018,3,0,5,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,26,2018,3,0,5,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,26,2018,3,0,5,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,26,2018,3,0,5,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,26,2018,3,0,5,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,26,2018,3,0,5,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,26,2018,3,0,5,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,26,2018,4,0,5,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,26,2018,4,0,5,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,26,2018,4,0,5,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,26,2018,4,0,5,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,26,2018,4,0,5,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,26,2018,4,0,5,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,26,2018,4,0,5,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,26,2018,4,0,5,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,26,2018,5,0,5,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,26,2018,5,0,5,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,26,2018,5,0,5,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,26,2018,5,0,5,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,26,2018,5,0,5,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,26,2018,5,0,5,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,26,2018,5,0,5,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,26,2018,5,0,5,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,26,2018,6,0,5,"Braga",1,"Avenida da Liberdade",25,25,0,124,124,0
7,26,2018,6,0,5,"Braga",2,"Avenida Central",25,25,0,124,124,0
7,26,2018,6,0,5,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,26,2018,6,0,5,"Braga",4,"N14 Bosch",47,47,0,48,48,0
7,26,2018,6,0,5,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,26,2018,6,0,5,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,26,2018,6,0,5,"Braga",7,"Rua Nova Santa Cruz",43,43,0,40,40,0
7,26,2018,6,0,5,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
7,26,2018,7,0,5,"Braga",1,"Avenida da Liberdade",19,25,6,163,124,39
7,26,2018,7,0,5,"Braga",2,"Avenida Central",19,25,6,163,124,39
7,26,2018,7,0,5,"Braga",3,"Rua de Caires",37,37,0,36,36,0
7,26,2018,7,0,5,"Braga",4,"N14 Bosch",31,47,16,72,48,24
7,26,2018,7,0,5,"Braga",5,"Avenida João Paulo II",39,39,0,9,9,0
7,26,2018,7,0,5,"Braga",6,"Avenida Padre Júlio Fragata",67,67,0,83,83,0
7,26,2018,7,0,5,"Braga",7,"Rua Nova Santa Cruz",33,43,10,52,40,12
7,26,2018,7,0,5,"Braga",8,"Rua Costa Gomes",40,40,0,43,43,0
